store_id,商家名稱,地址,營業電話,營業時間,網址,描述,類別,官方類別_自動,自訂類別,is_active,,,,,,,,,,,,,,id
23,Curves可爾姿女性30分鐘運動中心 社子延北店,111 臺北市士林區延平北路5段307號2樓,228133066,運動指導及服務週一至週五 14:30~20:30; 週六 10:00~13:00,https://www.curves.com.tw/,"Curves是專為女性設計的30分鐘環狀運動，結合有氧、肌力、伸展三合一的完整訓練，我們承諾提供一個充滿愛與支持的環境，從運動開始，讓所有接觸到Curves的人，勇於蛻變綻放價值。 動滋券適用品項：運動場館-綜合運動中心,運動保健",,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
24,體線運動,105 臺北市松山區南京東路4段186號6樓之9,227488928,9:00~19:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"普拉提全器械教室,一對一和團體課程，開放線上預約 配置專屬休息區、微波爐、冰箱、咖啡機、置物櫃、逆滲透飲水機。 動滋券適用品項：",,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
25,BELIEF IT運動工作室,116 臺北市文山區和平東路四段389號1樓,222309008,週一至週六 08:00-22:00 週日公休,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,運動場館或設施營建業,場館/課程,,,,,,,,,,,,,,,
26,Air fitness,110 臺北市信義區信義路3段3號2樓之1,227099469,09:00-21:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,其他,其他,,,,,,,,,,,,,,,
27,anytime fitness信義安和店,106 臺北市大安區信義路四段279號B1,227032803,24小時,https://www.instagram.com/afxinyi_anhe/,在你快速的步調與忙碌的生活中，我們能夠滿足你的需求，你可以在適合自己的時間隨時運動，無論是清晨或是深夜！我們的健身房每個星期 7 天，每天 24 小時的營業，全年無休。 動滋券適用品項：,,運動場館或設施營建業,場館/課程,,,,,,,,,,,,,,,
28,完美線條,106 臺北市大安區忠孝東路四段170巷6弄5號2F,918094746,09:30~21:30,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,我們是位於忠孝敦化的跳床運動教室 想知道明星們維持身材的秘密🤔 全身燃脂跳床運動 適合5種人： ♥️可以讓你身形變小，大腿🦵變細 ♥️想瘦快一點點的人 ♥️沒有時間運動的人 ♥️吃貨 ♥️喜歡流汗的人 動滋券適用品項：,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
29,中國青年救國團臺北市中山運動中心,104 臺北市中山區 中山北路２段４４巷２號,225811060,0600-2200,https://cssc.cyc.org.tw/,"臺北市中山運動中心係臺北市政府為提升市民健康體能、打造健康城市政策、養成市民終身運動習慣，達到全民運動目的所興建的第一座市民運動中心 動滋券適用品項：運動場館-瑜珈,運動場館-綜合運動中心,球類_羽球,球類_籃/排球,水域運動_游泳","運動場館-瑜珈,運動場館-綜合運動中心,球類_羽球,球類_籃/排球,水域運動_游泳",運動場館或設施營建業,場館/課程,,,,,,,,,,,,,,,
30,【綺迪樂】文創親子桌遊,104 臺北市中山區建國北路２段90號5樓,225033333,平日8:00-1700,https://www.kiddykiddo.com/,綺迪樂益智棋類、卡牌、桌遊規則簡單易懂，富含教育意義、歡樂刺激、人與人趣味互動! 可以邊玩邊學讓多位職能治療師、學校、兒科醫生推薦綺迪樂商品，很適合親子、朋友、樂齡等朋友一起同樂! 動滋券適用品項：,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
31,波特棒球學苑,104 臺北市中山區長安東路二段81號12樓,225032281,10：00-19：00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
32,給力健身有限公司火山店,103 臺北市大同區南京西路76號地下B1,225588882,24HR,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,"24HR不打烊,不綁約,不綁卡,不用入會費,不綁卡用完再買就好,不綁約可自由轉換入場收費方式,不用入會費只需APP申辦開通入場,APP$100(終身只需付一次) 動滋券適用品項：",,運動傳播媒體或資訊出版業,平台/媒體/經營,,,,,,,,,,,,,,,
33,金蘋果樹舞蹈工作室,106 臺北市大安區延吉街240-1號B1,227088011,10:00-22:00,http://www.gatdancestudio.com/,"專注於兒童街舞教育及場地租借的環境,坐落於台北市中心信義延吉一帶 核心理念： 1. 提供優質的教室場租環境 2. 集結與我們有共同理念的老師 3. 以品格 創造力 技巧為主要核心價值 4. 中英文雙語教學 5. 與家長一同監督與打造最優質的教學方針 動滋券適用品項：",,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
34,練一下,114 臺北市內湖區成功路三段145號B1,227996667,平日：07:00-24:00、假日：08:00-24:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,,,其他,其他,,,,,,,,,,,,,,,
35,WELLGYM,111 臺北市士林區 天福里天母東路５０巷８號１．２樓,228722127,12:00-21:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,WELLGYM是由私人教練、物理治療師與護理師組成的團隊。 私人教練具備美國運動醫學會(ACSM)、美國國家運動醫學會(NASM)、美國國家肌力與體能協會(NSCA)及美國運動委員會(ACE)的認證。 物理治療師於英國倫敦大學學院取得運動醫學碩士及台大物理治療學系畢業。 護理師於長庚科技大學護理系畢業，取得高考護理師執照、急診外傷訓練（ETTC)證照、高級心臟血管救命術（ACLS)證照、基本生命救命術(BLS)證照；內外科病房經驗8年，取得N3臨床能力進階。 動滋券適用品項：,,職業或業餘運動業,隊伍/賽事,,,,,,,,,,,,,,,
36,國立臺北教育大學泳健館,106 臺北市大安區和平東路２段１３４號,227373378,06：00AM~22：00PM,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,國立臺北教育大學泳健館為恆動力有限公司所經營，館內有標準池：50公尺長、6條水道寬、140公分深，兒童戲水池：適合學齡前(7歲以下)兒童玩水用，三種SPA、男女蒸氣室及烤箱，多功能教室，戶外運動平台等相關運動空間，定期舉辦多元豐富的相關課程，邀請愛運動的您一同參與！ 動滋券適用品項：,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
37,瑜伽之光-艾揚格瑜伽-北投館,112 臺北市北投區新市街２２－１號二樓,958000651,09:00-21:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,在溫泉城市北投市場裡的一個專業艾揚格瑜伽教室，歡迎大家一起來練習! 艾揚格瑜伽(Iyengar Yoga)是一個由B.K.S. Iyengar創辦且全球知名的瑜伽流派。,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
38,覺觀射藝-西湖射箭場,114 臺北市內湖區內湖路一段91巷163號,226570029,10:00-22:00,http://www.archeryfun.com.tw/,我團隊是由一群射箭愛好者組成，成員多為各方射手。為奠定日後永續基礎，我團隊秉持以商業收益和訓練分享平行前進，作為營運計劃設計之骨幹。歡迎公司團體活動、 '家庭日活動、團隊建立訓練、會議活動訓練，專業隊伍移訓，場地離文湖線西湖捷運站步行15分鐘，可直接驅車抵達。 動滋券適用品項：,,運動休閒教育服務業,場館/課程,,,,,,,,,,,,,,,
39,親山水工作室,103 臺北市大同區 老師里延平北路４段１７９巷８號,225520133,9:00~17:30,https://waterwu.com/,,,運動場館或設施營建業,場館/課程,,,,,,,,,,,,,,,
40,NOKE 忠泰樂生活-極光冰場與樂酷雪場,104 臺北市中山區樂群三路200號,285015999,AM11:00-PM22:00,https://noke.jutretail.com.tw,,,其他,其他,,,,,,,,,,,,,,,
41,有誼撞球運動館,110 臺北市信義區忠孝東路五段669號B1,287852797,AM11:00~PM00:00,https://accessibility.moda.gov.tw/Applications/Detail?category=20220622172837,每天忙碌的生活~需要好好的運動舒展讓身心健康得以平衡~ 提供給熱愛撞球的朋友一個舒適打球的場所!! 動滋券適用品項：,,運動用品或器材租賃業,用品/器材,,,,,,,,,,,,,,,
42,中華職業棒球大聯盟,105 臺北市松山區八德路三段32號2樓,225776992,09:00-19:00,https://www.cpbl.com.tw/,中華職業棒球大聯盟（CPBL，英文全稱為Chinese Professional Baseball League，簡稱中華職棒大聯盟或中華職棒）是於2003年由「中華職棒聯盟」與「台灣大聯盟」兩職業聯盟合併而改制。 1989年中華職棒聯盟成立，1990年03月17日中華職棒開幕戰開打，正式宣告台灣進入職棒元年。 動滋券適用品項：球類_棒/壘球,球類_棒/壘球,職業或業餘運動業,隊伍/賽事,,,,,,,,,,,,,,,
